site_id,site_name,area
1001,site name 1,area 1
1002,site name 2,area 1
1003,site name 3,area 1
1004,site name 4,area 1
1005,site name 5,area 1
1006,site name 6,area 1
1007,site name 7,area 1
1008,site name 8,area 1
1009,site name 9,area 2
1010,site name 10,area 2
1011,site name 11,area 2
1012,site name 12,area 3
1013,site name 13,area 3
1014,site name 14,area 3
1015,site name 15,area 3
1016,site name 16,area 3
1017,site name 17,area 3
1018,site name 18,area 3
1019,site name 19,area 4
1020,site name 20,area 4
